ID,location,total review,review
1,Syambhunath, 46 reviews,It is at the top of valleys mountain.  Best place to get a pleasure.  I really love the place. We can see whole Kathmandu valley from there. Best to visit there once in a life. We must visit there in life to get some Best experience in life …
2,Syambhunath, 132 reviews,This place has a significant importance in Buddhism. We visited this place after sunset but will recommend all of you to visit this place during day light. And be aware of monkeys. The complex is huge yet so beautiful and serene.
3,Syambhunath, 298 reviews,"Visited this from the other side on a rainy evening, didn't actually visit the Temple but other end, the view was great and beautiful. It's mostly crowdy, but it's obvious from what place offers, a mesmerizing view, trees, clean air and a …"
4,Syambhunath, 247 reviews,"A beautiful temple situated in the capital with stunning vies of the city. It is such an insight into the amazing culture Nepal has to offer. There was also lots of monkeys around the temple, which provided great entertainment for the …"
5,Syambhunath, 69 reviews,"great, beautiful, historic & religious place..
Crowded by visitors from all around the world.
The view point will amaze you with beautiful scenic of Kathmandu city."
6,Syambhunath, 86 reviews,"The view is so pleased and pleasures that it touches directly to my soul...
Great place to visit and look after in Kathmandu, Nepal.
I will recommend to visit this place after 4PM. Evening 😍"
7,Syambhunath, 88 reviews,"It is a must visit heritage site in kathmandu.
.
If you are staying in ktm, go early morning for a morning walk thing and wear …"
8,Syambhunath, 22 reviews,"The Swayambhunath Stupa is one of the crowning glories of Kathmandu Valley architecture. This perfectly proportioned monument rises through a whitewashed dome to a gilded spire, from where four iconic faces of the Buddha stare out across the valley in the cardinal directions. Best place for visit."
9,Syambhunath, 124 reviews,It’s up there but would definitely recommend doing the mini hike. It has one of the best valley views! World recommend going around sunset.
10,Syambhunath, 741 reviews,One of the best stupa in Kathmandu. Its located on top of mountain so that you can enjoy Kathmandu city skyline view. There are plenty of monkeys and dogs but overall they are friendly.
11,Syambhunath, 118 reviews,"Vintage Place Of Lord Buddha
Famous For it's Religious and culture because it's symbol of nature and peace
Above The height of Kathmandu …"
12,Syambhunath, 101 reviews,"Swayambhu, meaning self-sprung, is one of the most sacred and iconic religious places in Nepal. The religious complex is situated on top of a hill. As you begin your climb you will come across various shops and cafes. You will also be …"
13,Syambhunath,64 reviews,Surreal experience. Remember to put your sunscreen on and maybe put on a sun hat. Temple up the mountain with stairs and there’s another road where you can take a Uber if you don’t want to take the long stairs.
14,Syambhunath, 91 reviews,The oldest religious site in Kathmandu. Worth a visit. Great view overlocking Kathmandu. Beware of the monkeys and need to take Lots of stairs. 200 rupees for foreigners
15,Syambhunath, 33 reviews,"All you get from visiting this place is the sense of Spirituality and Peace.
Do visit this World Heritage of Nepal, you won't regret!"
16,Syambhunath, 241 reviews,"This temple is also known as the Monkey Temple.
There are a lot of monkeys in the temple and along the stairway to the temple. …"
17,Syambhunath, 233 reviews,"The monkey temple is a good tourist spot. You get to see a great temple, lots of monkeys, and a nice view of Kathmandu. Lot of stairs to get up so be prepared."
18,Syambhunath, 25 reviews,"One of the best places to visit in kathmandu, Nepal.
Reach to the top of the mountain and you can enjoy the market there and also the mountain view from there. Ticket Price 50 INR for Indian"
19,Syambhunath, 5 reviews,"Swayambhunath is a glorious ancient religious architecture, located in the middle of Kathmandu city. It is center of faith of both Buddhist and Hindus.
It was listed in the UNESCO World Heritage Monument List in 1979 .Great place to …"
20,Syambhunath, 400 reviews,It's beautiful temple located at the hilltop from where you could have a 360 degree view of Kathmandu city. Visit Stupa and temple.
21,Syambhunath, 14 reviews,Swayambhunath is also known as Shiva( god Mahadev). It is historical place in Nepal.  And also tourist area. Where Tourist come to visit and they enjoyed it and also known about historical story. Hope you also come to visit and enjoy more and knows about historical story. ☺☺
22,Syambhunath, 20 reviews,Swayambhunath is also known as Shiva( god Mahadev). It is historical place in Nepal. And also tourist area. Where Tourist come to visit and they enjoyed it and also known about historical story. Hope you also come to visit and enjoy more and knows about historical story.
23,Syambhunath, 76 reviews,Swayambunath also known as the monkey temple is situated at an elevation. It offers a bird's eye view of the valley below. A very peaceful place to visit.
24,Syambhunath, 22 reviews,Swayanbhu Mahachaitya is an important landmark in Kathmandu.  It's about 15 minutes from Durbar Square. It sits on top a big mountain and from here you can see the whole Kathmandu valley and take amazing pictures. …
25,Syambhunath, 49 reviews,A sacred and holy place of worship for Hindus and Buddhists. One can view the city of Kathmandu from its premises. A very good place to buy traditional arts and crafts. Oil paintings depicting the popular culture and heritage of Nepal as well as mountain ranges are sold here.
26,Syambhunath, 40 reviews,"It's a most to visit tourism sites in kathmandu.  Monkey temple, where you can see alot of Monkeys playing around.
It's been made in the 5th century."
27,Syambhunath, 18 reviews,Extraordinary ambition with Vibe of Bhuda filled with. Also called as 'Monkey Temple' and you can either reach the top of the small peak by vehicle or climb on the steps. Must go place in Kathmandu.
28,Syambhunath, 48 reviews,"A beautiful place to spend your day at.

Monkey temple, full of monkeys. …"
29,Syambhunath, 91 reviews,Must visit for locals and tourists. Recommend going early in the morning and walking the steps all the way up. Hot spot for many working out. Small vendors selling wheat-grass and aloe juice. I arrived at 6am and it was already bustling.
30,Syambhunath, 47 reviews,I had been into this place for an official cause. This was not my first visit but each time I visit this place amazes me with the peacefulness and devotion of the visitors. What more? The wide angle view of the Kathmandu 🇳🇵 valley is …
31,Syambhunath, 105 reviews,"Be ready to climb 300 steps to reach this location.
Commonly called Monkey Temple, you will quickly understand why. There are macaques everywhere but they aren’t agressive unless you provoke them with food. …"
32,Syambhunath, 29 reviews,This place has been in my wishlist from a long time. I have been reading a lot about Swayambu  and its architecture. Absolutely loved the place and the fact that the surroundings are carved detailed. there is greenery all around for miles …
33,Syambhunath, 69 reviews,"Amazing experience. A stupa of Fantastic architecture on the top of hillock, Great historical place to visit. Lies in the heart of the Kathmandu city. Easy access. Enjoyable view of kathmandu valley."
34,Syambhunath, 24 reviews,"Only WoW,
• Great View can see Whole city from up there.
• Beauty of Nature …"
35,Syambhunath, 131 reviews,"I would rate this place as okay .

Let's start by the positives: …"
36,Syambhunath,7 reviews,"Here’s something for the non-religious folk, you can still have a good time just walking around. It’s beautiful, it’s peaceful and it’s serene. Take a visit and you won’t be disappointed. …"
37,Syambhunath,1 review,"Popularly known as monkey temple.

Swayambhu is an ancient religious complex atop a hill in the Kathmandu Valley, …"
